Tienda,Nombre,Provincia,Direccion,Formato,Distrito,Distrital
1002,Rio IV,Córdoba,VJ99+H4 Río Cuarto Córdoba,HCH,CENTRO,TBD
1003,San Luis,San Luis,PM3W+GM San Luis,HCH,CUYO,Adrian Vinagre
1004,San Fernando,GBA,GC83+6J Victoria Provincia de Buenos Aires,HCH,BS AS SUR / NORTE,Ariel Konaszcuk
1005,Las Heras,Mendoza,44XV+63 Las Heras Mendoza,HCH,CUYO,Adrian Vinagre
1006,San Juan,San Juan,FC5G+PQ San Juan,HCH,CUYO,Adrian Vinagre
1007,La Rioja,La Rioja,H4CQ+W2 La Rioja,CH,CENTRO,TBD
1008,Corrientes (Av. Maipú),Corrientes,G5HV+R3 Corrientes,HCH,NEA,Horacio Tupponi
1010,Córdoba Sur,Córdoba,GRMP+6R Córdoba,PM,CENTRO,TBD
1011,Salta,Salta,5HVH+VR Salta,CH,NOA,Luciano Budman
1012,Santiago,Santiago del Estero,5QR2+68 Santiago del Estero,CH,NOA,Luciano Budman
1013,Tigre,GBA,G8GP+9V El Talar Provincia de Buenos Aires,CH,BS AS SUR / NORTE,Ariel Konaszcuk
1014,Lujan,Buenos Aires,FV3Q+2H Luján Provincia de Buenos Aires,HCH,BS AS OESTE/ NORTE,Ricardo Masilo
1015,Maipú,Mendoza,26C2+HQ Maipú Mendoza,HCH,CUYO,Adrian Vinagre
1016,Avellaneda 2 (Sarandí),GBA,8MC8+J4 Buenos Aires,CH,BS AS SUR / NORTE,Ariel Konaszcuk
1017,La Tablada,GBA,7FX8+GJ La Tablada Provincia de Buenos Aires,CH,BS AS OESTE/ NORTE,Ricardo Masilo
1018,Quilmes,GBA,7P84+FM Quilmes Provincia de Buenos Aires,CH,BS AS SUR / NORTE,Ariel Konaszcuk
1020,Tucumán,Tucumán,5PWQ+3W San Miguel de Tucumán,HCH,NOA,Luciano Budman
1021,Neuquén,Neuquén,2WX2+PW Neuquén,HCH,PATAGONIA,Rafael Ghirardi
1022,Bariloche,Rio Negro,RMQJ+P7 San Carlos de Bariloche Río Negro,HCH,PATAGONIA,Rafael Ghirardi
1023,La Pampa,La Pampa,9PWH+JF Santa Rosa La Pampa,HCH,SUR + LA PAMPA,Sebastian Martinelli
1024,Formosa,Formosa,RQ3W+WQ Formosa,HCH,NEA,Horacio Tupponi
1026,Catamarca,Catamarca,G6MW+83 San Fernando del Valle de Catamarca,HCH,CENTRO,TBD
1027,Mataderos,CABA,8GQ8+98 Buenos Aires,SCH,BS AS SUR / NORTE,Ariel Konaszcuk
1028,Alte Brown,GBA,5JM5+8W Burzaco,HCH,BS AS SUR / NORTE,Ariel Konaszcuk
1029,Moreno,GBA,C763+PW Moreno,HCH,BS AS OESTE/ NORTE,Ricardo Masilo
1030,José C Paz,GBA,F6CX+4V José C. Paz,SCH,BS AS OESTE/ NORTE,Ricardo Masilo
1031,Jujuy,Jujuy,QPQ6+PJ San Salvador de Jujuy,HCH,NOA,Luciano Budman
1032,Malvinas Arg,GBA,G72Q+JC Ingeniero Pablo Nogués,HCH,BS AS OESTE/ NORTE,Ricardo Masilo
1033,Rio Salí,Tucumán,5R6J+X9 Banda del Río Salí,HCH,NOA,Luciano Budman
1035,3 de Febrero,GBA,C9GQ+29 Pablo Podesta,HCH,BS AS OESTE/ NORTE,Ricardo Masilo
